,value_402,age_402
0,2.5356954114714774,352.87340576093527
1,2.9504854214355487,365.49834671116514
2,2.559800903590599,378.12328766139507
3,2.2442078745793874,390.74822861162494
4,1.7427699742160443,403.3731695618548
5,2.669196744017552,415.99811051208474
6,2.1842583058261664,428.6230514623146
7,1.3746416759111213,441.24799241254453
8,1.4074501974020714,453.8729333944632
9,1.27011845470489,466.49787434469306
10,1.6984715667632608,479.122815294923
11,1.384017079064293,491.74775624515286
12,0.9896172935298373,504.3726971953828
13,1.1055111019485253,516.9976381456127
14,1.926388628070074,529.6225790958425
15,1.022218988587749,542.2475200460724
16,1.3553901508171255,554.8724610279911
17,1.3953568233433535,567.497401978221
18,1.3845709367659174,580.1223429284508
19,1.0479353577676047,592.7472838786808
20,1.2351184998729487,605.3722248289107
21,1.2341817466933798,617.9971657791406
22,2.083239886198966,630.6221067293704
23,1.0713016465443608,643.2470476796004
24,1.28224380074642,655.871988661519
25,1.6032396330506242,668.4969296117489
26,1.1343874708366595,681.1218705619789
27,1.1915564724684242,693.7468115122088
28,1.2293986655601936,706.3717524624386
29,1.5833819376541518,718.9966934126685
30,1.3282517552762527,731.6216343628984
31,2.0427576019014033,744.2465753131283
32,1.7769661450635506,756.871516295047
33,1.8445065735159674,769.4964572452768
34,0.9672924037565025,782.1213981955068
35,0.6664343576114681,794.7463391457367
36,0.9883688332626227,807.3712800959665
37,0.6918964513036283,819.9962210461964
38,0.6029437251522856,832.6211619964264
39,0.7888339350455321,845.2461029466563
40,0.6904352640681708,857.8710439285749
41,0.5111717147390898,870.4959849104936
42,0.5511318837409414,883.1209258290347
43,0.5782667818192541,895.7458667792646
44,0.5283290022644704,908.3708077294945
45,0.7302552912828392,920.9957486797243
46,0.6000728957859001,933.6206896299543
47,0.6782667818192543,946.2456305801842
48,0.7821121742743393,958.8705715621028
49,0.74806984977017,971.4955125123328
50,0.514699332780098,984.1204534625626
51,0.61715728752538,996.7453944127925
52,0.5707471260116046,1009.3703353630224
53,0.5111717147390894,1021.9952763132522
54,0.5829156082605195,1034.6202172634821
55,0.5050617010623665,1047.245158213712
56,0.5464830572996761,1059.8700991956307
57,0.4928932188134514,1072.4950401458607
58,0.4707471260116045,1085.1199810960904
59,0.43431457505076104,1097.7449220463204
60,0.43431457505076104,1110.3698629965504
61,0.4757359312880704,1122.9948039467802
62,0.4757359312880704,1135.6197448970102
63,0.43431457505076104,1148.2446858472401
64,0.529325769774295,1160.8696268291587
65,0.534314575050761,1173.4945677793885
66,0.4575818762528649,1186.1195087296185
67,0.534314575050761,1198.7444496798485
68,0.5999999999999989,1211.3693906300782
69,0.4707471260116045,1223.9943315803082
70,0.5782667818192541,1236.619272530538
71,0.4928932188134514,1249.244213480768
72,0.4757359312880704,1261.8691544626865
73,0.4171572875253801,1274.4940954129165
74,0.4757359312880704,1287.1190363631465
75,0.43431457505076104,1299.7439773133763
76,0.45147186257614186,1312.3689182636062
77,0.4707471260116045,1324.993859213836
78,0.4707471260116045,1337.618800164066
79,0.43431457505076104,1350.243741114296
80,0.4585786437626895,1362.8686820962146
81,0.4171572875253801,1375.4936230464443
82,0.4171572875253801,1388.1185639966743
83,0.45758187625286484,1400.7435049469043
84,0.6879044135369864,1413.368445897134
85,0.5111717147390894,1425.993386847364
86,0.5248013842234625,1438.618327797594
87,0.59800646498035,1451.2432687478238
88,0.6000728957859001,1463.8682097297424
89,0.7100505063388332,1476.4931506799724
90,0.6735446881396571,1489.1180916302023
91,0.7861042120409786,1501.743032580432
92,1.0863237531384409,1514.367973530662
93,1.4025312992714651,1526.9929144808918
94,1.0100411372839806,1539.6178554311218
95,1.4057625309719746,1552.2427963813518
96,2.0519832959728315,1564.8677373632704
97,1.7042372359065963,1577.4926783135004
98,1.1962581191937218,1590.1176192637301
99,1.3751298339782243,1602.7425602139601
100,1.0876398329470853,1615.36750116419
101,1.555123921507581,1627.9924421144199
102,1.4726061690286907,1640.6173830646499
103,1.6191117567362945,1653.2423240148796
104,1.6674914925375646,1665.8672649967984
105,1.718132299354359,1678.492205978717
106,1.3047185360270206,1691.1171468972582
107,1.2950254939650379,1703.742087847488
108,1.9001823834484495,1716.367028797718
109,1.3880305010593443,1728.991969747948
110,1.047976134053836,1741.6169106981777
111,1.2406000962888613,1754.2418516484076
112,0.7664343576114689,1766.8667926303262
113,0.8681490294791432,1779.4917335805562
114,0.5918964513036268,1792.116674530786
115,0.5272077938642132,1804.741615481016
116,0.6146993327800977,1817.3665564312457
117,0.5161605200155553,1829.9914973814757
118,0.6766654527966142,1842.6164383317057
119,0.5050617010623665,1855.2413792819355
120,0.5525930709763989,1867.8663202638543
121,0.5611094942938732,1880.491261214084
122,0.4757359312880704,1893.116202164314
123,0.46862915010152295,1905.7411431145438
124,0.46862915010152295,1918.3660840647738
125,0.47873120154488724,1930.9910250150037
126,0.5414942520232097,1943.6159659652335
127,0.4343145750507613,1956.2409069154635
128,0.4707471260116049,1968.865847897382
129,0.6025308505311826,1981.490788847612
130,0.4757359312880704,1994.1157297978418
131,0.4171572875253801,2006.7406707480718
132,0.4171572875253801,2019.3656116983018
133,0.43431457505076104,2031.9905526485315
134,0.5354357834510178,2044.6154935987615
135,0.529325769774295,2057.2404345489913
136,0.4879044135369855,2069.86537553091
137,0.4757359312880704,2082.49031648114
138,0.4707471260116045,2095.1152574313696
139,0.4707471260116045,2107.7401983816
140,0.5243369644978291,2120.3651393318296
141,0.5782667818192541,2132.9900802820594
142,0.49189645130362714,2145.6150212322896
143,0.4514718625761423,2158.2399621825193
