###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,25.2622
lon,91.8167
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Mawmluh
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
5489.0,-5.941
5495.0,-6.116
5501.0,-6.292
5507.0,-5.956
5513.0,-5.832
5519.0,-6.004
5525.0,-5.972
5531.0,-5.647
5537.0,-5.713
5543.0,-5.739
5549.0,-5.584
5555.0,-5.634
5561.0,-5.638
5567.0,-5.502
5573.0,-5.619
5579.0,-5.695
5585.0,-5.789
5591.0,-5.965
5597.0,-5.523
5603.0,-5.862
5609.0,-5.98
5615.0,-5.632
5621.0,-5.786
5627.0,-5.79
5633.0,-5.972
5639.0,-5.996
5645.0,-5.952
5651.0,-6.065
5657.0,-5.892
5663.0,-6.05
5669.0,-5.996
5675.0,-6.203
5681.0,-6.467
5687.0,-6.444
5693.0,-6.419
5699.0,-6.241
5705.0,-6.225
5711.0,-6.263
5717.0,-6.392
5723.0,-6.503
5729.0,-6.591
5735.0,-6.427
5741.0,-6.452
5747.0,-6.586
5753.0,-6.704
5759.0,-6.544
5765.0,-6.706
5771.0,-6.402
5777.0,-6.823
5783.0,-6.779
5789.0,-6.676
5795.0,-6.664
5801.0,-6.636
5807.0,-6.669
5813.0,-6.94
5819.0,-6.941
5825.0,-6.679
5831.0,-6.583
5837.0,-7.056
5843.0,-6.774
5849.0,-6.456
5855.0,-6.725
5861.0,-6.781
5867.0,-6.837
5873.0,-6.816
5879.0,-6.522
5885.0,-6.681
5891.0,-6.814
5897.0,-6.913
5903.0,-7.032
5909.0,-6.779
5915.0,-6.823
5921.0,-6.704
5927.0,-6.747
5933.0,-6.523
5939.0,-6.977
5945.0,-7.212
5951.0,-6.849
5957.0,-6.771
5963.0,-6.999
5969.0,-6.855
5975.0,-6.941
5981.0,-7.1
5987.0,-6.943
5993.0,-6.891
5999.0,-6.849
6005.0,-6.896
6011.0,-6.998
6017.0,-7.075
6023.0,-6.829
6029.0,-6.715
6035.0,-6.851
6041.0,-6.849
6047.0,-6.913
6053.0,-6.996
6059.0,-7.073
6065.0,-7.251
6071.0,-7.028
6077.0,-6.763
6083.0,-6.815
6089.0,-7.074
6095.0,-7.064
6101.0,-7.159
6107.0,-7.374
6113.0,-6.89
6119.0,-6.834
6125.0,-7.315
6131.0,-6.944
6137.0,-6.688
6143.0,-6.947
6149.0,-6.721
6155.0,-6.526
6161.0,-6.029
6167.0,-5.874
6173.0,-6.082
6179.0,-6.554
6185.0,-6.663
6191.0,-6.509
6197.0,-6.682
6203.0,-6.382
6209.0,-6.944
6215.0,-6.612
6221.0,-7.061
6227.0,-6.855
6233.0,-7.111
6239.0,-6.578
6245.0,-6.61
6251.0,-6.48
6257.0,-6.534
6263.0,-6.609
6269.0,-6.575
6275.0,-6.48
6281.0,-6.555
6287.0,-6.637
6293.0,-6.624
6299.0,-6.467
6305.0,-6.498
6311.0,-6.577
6317.0,-6.394
6323.0,-6.376
6329.0,-6.663
6335.0,-6.234
6341.0,-6.35
6347.0,-6.466
6353.0,-6.645
6359.0,-6.393
6365.0,-6.641
6371.0,-6.609
6377.0,-6.566
6383.0,-6.819
6389.0,-6.362
6395.0,-6.533
6401.0,-6.599
6407.0,-6.674
6413.0,-6.527
6419.0,-6.563
6425.0,-6.396
6431.0,-6.773
6437.0,-6.418
6443.0,-6.508
6449.0,-6.318
6455.0,-6.307
6461.0,-6.427
6467.0,-6.5
6473.0,-6.295
6479.0,-6.229
6485.0,-6.258
6491.0,-6.321
6497.0,-6.2
6503.0,-6.159
6509.0,-6.077
6515.0,-6.017
6521.0,-5.986
6527.0,-5.971
6533.0,-5.981
6539.0,-6.019
6545.0,-6.041
6551.0,-6.131
6557.0,-5.978
6563.0,-5.999
6569.0,-6.036
6575.0,-6.084
6581.0,-6.273
6587.0,-5.946
6593.0,-6.526
6599.0,-6.985
6605.0,-6.497
6611.0,-6.701
6617.0,-6.076
6623.0,-6.742
6629.0,-6.617
6635.0,-6.342
6641.0,-6.399
6647.0,-6.259
6653.0,-6.287
6659.0,-7.085
6665.0,-6.672
6671.0,-6.634
6677.0,-6.649
6683.0,-6.863
6689.0,-6.826
6695.0,-6.834
6701.0,-7.023
6707.0,-6.81
6713.0,-7.028
6719.0,-7.062
6725.0,-7.108
6731.0,-7.45
6737.0,-7.003
6743.0,-7.167
6749.0,-7.191
6755.0,-7.005
6761.0,-7.311
6767.0,-6.99
6773.0,-7.203
6779.0,-7.405
6785.0,-7.186
6791.0,-7.031
6797.0,-7.048
6803.0,-7.112
6809.0,-7.349
6815.0,-7.48
6821.0,-7.44
6827.0,-7.262
6833.0,-7.513
6839.0,-7.579
6845.0,-7.105
6851.0,-6.946
6857.0,-6.956
6863.0,-6.522
6869.0,-6.859
6875.0,-7.15
6881.0,-7.107
6887.0,-6.719
6893.0,-7.122
6899.0,-6.916
6905.0,-6.814
6911.0,-6.909
6917.0,-6.331
6923.0,-6.261
6929.0,-6.228
6935.0,-6.436
6941.0,-6.352
6947.0,-6.324
6953.0,-6.221
6959.0,-6.979
6965.0,-6.462
6971.0,-6.265
6977.0,-6.337
6983.0,-6.29
6989.0,-6.197
6995.0,-6.199
7001.0,-6.315
7007.0,-6.321
7013.0,-6.34
7019.0,-6.423
7025.0,-6.449
7031.0,-6.585
7037.0,-6.544
7043.0,-6.291
7049.0,-6.297
7055.0,-6.263
7061.0,-6.288
7067.0,-6.408
7073.0,-6.215
7079.0,-6.114
7085.0,-6.011
7091.0,-6.079
7097.0,-6.386
7103.0,-6.402
7109.0,-6.562
7115.0,-6.747
7121.0,-6.56
7127.0,-6.887
7133.0,-7.003
7139.0,-7.081
7145.0,-7.013
7151.0,-6.991
7157.0,-7.154
7163.0,-7.029
7169.0,-6.697
7175.0,-6.853
7181.0,-6.942
7187.0,-6.521
7193.0,-6.384
7199.0,-6.484
7205.0,-7.198
7211.0,-6.963
7217.0,-7.151
7223.0,-6.932
7229.0,-7.017
7235.0,-6.698
7241.0,-7.173
7247.0,-7.147
7253.0,-6.765
7259.0,-6.972
7265.0,-6.866
7271.0,-6.853
7277.0,-7.105
7283.0,-7.203
7289.0,-7.187
7295.0,-7.321
7301.0,-7.513
7307.0,-7.475
7313.0,-7.338
7319.0,-6.76
7325.0,-6.509
7331.0,-6.641
7337.0,-6.596
7343.0,-6.543
7349.0,-6.532
7355.0,-6.595
7361.0,-6.471
7367.0,-6.307
7373.0,-6.266
7379.0,-6.367
7385.0,-6.576
7391.0,-6.557
7397.0,-6.584
7403.0,-6.489
7409.0,-6.688
7415.0,-7.222
7421.0,-7.217
7427.0,-7.246
7433.0,-7.24
7439.0,-7.14
7445.0,-7.358
7451.0,-7.569
7457.0,-7.414
7463.0,-7.348
7469.0,-7.155
7475.0,-7.11
7481.0,-7.189
7487.0,-7.085
7493.0,-7.344
7499.0,-7.337
7505.0,-7.231
7511.0,-7.426
7517.0,-7.334
7523.0,-7.248
7529.0,-7.506
7535.0,-7.432
7541.0,-7.576
7547.0,-7.347
7553.0,-7.424
7559.0,-7.252
7565.0,-7.469
7571.0,-7.45
7577.0,-7.289
7583.0,-7.364
7589.0,-7.231
7595.0,-7.346
7601.0,-6.916
7607.0,-7.365
7613.0,-7.373
7619.0,-7.369
7625.0,-7.21
7631.0,-7.352
7637.0,-7.399
7643.0,-7.399
7649.0,-7.34
7655.0,-7.088
7661.0,-7.216
7667.0,-7.271
7673.0,-7.187
7679.0,-7.494
7685.0,-6.95
7691.0,-7.515
7697.0,-7.337
7703.0,-7.295
7709.0,-7.461
7715.0,-7.094
7721.0,-7.011
7727.0,-7.279
7733.0,-7.242
7739.0,-7.331
7745.0,-7.22
7751.0,-7.241
7757.0,-7.051
7763.0,-7.344
7769.0,-7.456
7775.0,-7.349
7781.0,-7.375
7787.0,-7.319
7793.0,-7.041
7799.0,-7.005
7805.0,-7.198
7811.0,-6.814
7817.0,-6.49
7823.0,-6.534
7829.0,-6.7
7835.0,-6.55
7841.0,-6.339
7847.0,-6.439
7853.0,-6.562
7859.0,-6.533
7865.0,-6.555
7871.0,-6.579
7877.0,-6.564
7883.0,-6.621
7889.0,-6.723
7895.0,-6.858
7901.0,-6.798
7907.0,-6.769
7913.0,-6.962
7919.0,-6.891
7925.0,-6.955
7931.0,-6.844
7937.0,-6.87
7943.0,-6.941
7949.0,-7.003
7955.0,-6.999
7961.0,-7.064
7967.0,-7.002
7973.0,-7.046
7979.0,-6.831
7985.0,-6.967
7991.0,-6.955
7997.0,-7.25
8003.0,-7.286
8009.0,-7.383
8015.0,-7.399
8021.0,-7.263
8027.0,-7.43
8033.0,-7.469
8039.0,-7.484
8045.0,-7.483
8051.0,-7.456
8057.0,-7.415
8063.0,-7.476
8069.0,-7.385
8075.0,-7.315
8081.0,-7.208
8087.0,-7.047
8093.0,-7.044
8099.0,-7.13
8105.0,-7.022
8111.0,-7.014
8117.0,-7.109
8123.0,-7.132
8129.0,-7.166
8135.0,-7.198
8141.0,-7.145
8147.0,-7.125
8153.0,-7.124
8159.0,-7.047
8165.0,-7.085
8171.0,-7.088
8177.0,-7.136
8183.0,-6.992
8189.0,-6.843
8195.0,-6.868
8201.0,-6.753
8207.0,-6.651
8213.0,-6.981
8219.0,-6.708
8225.0,-6.782
8231.0,-6.489
8237.0,-6.452
8243.0,-6.093
8249.0,-6.43
8255.0,-6.54
8261.0,-6.541
8267.0,-6.518
8273.0,-6.504
8279.0,-6.494
8285.0,-6.709
8291.0,-6.293
8297.0,-6.536
8303.0,-6.994
8309.0,-6.762
8315.0,-6.422
8321.0,-6.806
8327.0,-7.076
8333.0,-7.013
8339.0,-7.128
8345.0,-7.25
8351.0,-7.543
