###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,32.9975
lon,106.3281
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Xianglong
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
5942.0,-8.41
5954.0,-9.09
5966.0,-8.1
5978.0,-8.31
5991.0,-8.95
6003.0,-8.95
6015.0,-8.32
6027.0,-8.15
6039.0,-7.74
6051.0,-7.98
6064.0,-8.03
6076.0,-8.15
6088.0,-8.66
6100.0,-8.75
6112.0,-9.2
6124.0,-8.69
6137.0,-8.67
6149.0,-8.58
6161.0,-8.73
6174.0,-8.95
6188.0,-8.73
6202.0,-8.5
6216.0,-8.19
6229.0,-8.47
6243.0,-9.32
6257.0,-8.18
6271.0,-8.5
6285.0,-8.53
6299.0,-8.51
6313.0,-10.7
6327.0,-8.91
6340.0,-8.64
6354.0,-9.07
6368.0,-10.07
6382.0,-9.85
6393.0,-9.27
6401.0,-9.22
6409.0,-9.06
6417.0,-9.28
6425.0,-8.88
6433.0,-9.32
6441.0,-8.87
6449.0,-9.01
6457.0,-9.15
6465.0,-9.12
6474.0,-9.07
6482.0,-8.97
6490.0,-8.65
6498.0,-8.16
6506.0,-8.36
6514.0,-8.76
6522.0,-8.71
6530.0,-8.25
6538.0,-8.25
6546.0,-8.27
6554.0,-8.92
6562.0,-8.56
6570.0,-8.87
6578.0,-8.19
6586.0,-8.2
6594.0,-8.41
6602.0,-9.01
6610.0,-8.7
6619.0,-8.68
6627.0,-8.77
6635.0,-8.65
6643.0,-8.43
6651.0,-8.62
