###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,33.5667
lon,109.1
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Jiuxian
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
1124.0,-8.28
1129.0,-8.47
1135.0,-9.07
1140.0,-9.25
1154.0,-10.07
1155.0,-10.21
1159.0,-9.49
1165.0,-9.14
1170.0,-9.43
1176.0,-9.25
1179.0,-8.88
1183.0,-8.05
1187.0,-7.94
1191.0,-8.14
1196.0,-9.02
1205.0,-8.77
1208.0,-9.74
1219.0,-8.51
1226.0,-10.17
1234.0,-8.33
1238.0,-8.66
1242.0,-8.24
1245.0,-8.33
1251.0,-8.18
1254.0,-8.41
1257.0,-8.47
1261.0,-8.38
1264.0,-9.1
1267.0,-8.96
1270.0,-8.84
1274.0,-9.14
1277.0,-9.29
1281.0,-8.9
1282.0,-9.31
1284.0,-8.74
1290.0,-8.31
1291.0,-8.84
1293.0,-8.7
1296.0,-8.55
1298.0,-8.41
1304.0,-8.34
1307.0,-8.82
1307.0,-8.44
1310.0,-8.49
1312.0,-8.52
1317.0,-9.09
1319.0,-8.98
1320.0,-9.42
1323.0,-9.48
1325.0,-9.6
1331.0,-9.33
1334.0,-9.28
1337.0,-9.48
1342.0,-8.9
1343.0,-9.27
1346.0,-9.17
1349.0,-9.17
1351.0,-9.25
1352.0,-9.5
1357.0,-9.58
1360.0,-9.65
1361.0,-9.77
1362.0,-9.46
1365.0,-9.33
1370.0,-9.12
1372.0,-9.15
1373.0,-9.22
1375.0,-9.25
1378.0,-9.4
1383.0,-9.41
1384.0,-9.34
1385.0,-9.36
1387.0,-9.29
1389.0,-8.52
1392.0,-8.29
1394.0,-8.64
1400.0,-8.93
1405.0,-8.76
1411.0,-8.77
1411.0,-8.34
1416.0,-8.03
1427.0,-8.22
1433.0,-8.22
1435.0,-8.28
1438.0,-8.51
1443.0,-8.5
1454.0,-9.33
1460.0,-9.71
1465.0,-9.71
1470.0,-9.18
1480.0,-7.63
1482.0,-7.47
1485.0,-7.28
1494.0,-7.94
1510.0,-7.75
1512.0,-7.91
1517.0,-7.59
1524.0,-6.5
1531.0,-7.56
1536.0,-8.88
1542.0,-9.37
1548.0,-9.59
1554.0,-9.04
1559.0,-8.91
1564.0,-8.62
1569.0,-8.71
1574.0,-8.75
1578.0,-8.39
1583.0,-8.59
1592.0,-8.36
1597.0,-8.77
1597.0,-8.79
1601.0,-9.14
1606.0,-7.87
1606.0,-9.02
1611.0,-7.23
1619.0,-6.9
1624.0,-7.24
1628.0,-7.43
1633.0,-7.48
1638.0,-8.02
1646.0,-8.66
1651.0,-8.85
1652.0,-8.97
1655.0,-9.11
1660.0,-9.29
1665.0,-9.56
1674.0,-11.02
1679.0,-8.29
1685.0,-11.37
1702.0,-8.61
1708.0,-8.65
1714.0,-8.18
1716.0,-7.99
1720.0,-7.4
1730.0,-7.54
1736.0,-7.87
1742.0,-8.09
1747.0,-8.32
1756.0,-8.1
1762.0,-8.42
1765.0,-8.45
1768.0,-8.66
1773.0,-8.88
1784.0,-8.95
1790.0,-9.24
1796.0,-9.72
1801.0,-9.98
1806.0,-9.16
1813.0,-10.14
1819.0,-9.94
1825.0,-9.07
1829.0,-9.21
1834.0,-8.74
1841.0,-8.87
1849.0,-8.73
1856.0,-9.52
1861.0,-10.18
1868.0,-9.53
1876.0,-9.73
1884.0,-8.5
1889.0,-8.88
1894.0,-8.48
1902.0,-8.3
1909.0,-8.31
1916.0,-9.05
1923.0,-9.47
1931.0,-8.51
1938.0,-8.27
1944.0,-8.88
1950.0,-8.65
1958.0,-8.62
1965.0,-9.29
1971.0,-9.02
1977.0,-8.66
1983.0,-8.98
1996.0,-9.85
2009.0,-8.83
2021.0,-9.22
2033.0,-8.27
2049.0,-8.47
2065.0,-8.65
2080.0,-9.06
2092.0,-8.62
2105.0,-8.27
2121.0,-8.19
2137.0,-8.49
2149.0,-8.85
2163.0,-8.8
2174.0,-8.88
2190.0,-8.14
2206.0,-8.27
2221.0,-8.76
2234.0,-8.58
2249.0,-8.87
2265.0,-8.78
2280.0,-8.38
2292.0,-8.14
2305.0,-8.43
2319.0,-8.0
2336.0,-8.98
2351.0,-10.03
2364.0,-10.96
2376.0,-8.69
2386.0,-10.06
2403.0,-8.45
2420.0,-8.35
2434.0,-8.6
2447.0,-8.52
2462.0,-8.67
2479.0,-9.19
2494.0,-9.08
2507.0,-8.93
2519.0,-8.16
2532.0,-8.71
2549.0,-8.45
2567.0,-8.09
2581.0,-7.69
2590.0,-7.42
2605.0,-7.22
2622.0,-7.63
2637.0,-7.83
2647.0,-8.04
2661.0,-8.09
2676.0,-9.36
2691.0,-10.37
2706.0,-10.5
2716.0,-10.0
2732.0,-10.81
2737.0,-9.59
2743.0,-9.3
2748.0,-9.61
2754.0,-9.42
2759.0,-9.88
2764.0,-8.42
2769.0,-7.72
2775.0,-8.47
2780.0,-8.27
2786.0,-9.54
2792.0,-8.46
2797.0,-9.69
2803.0,-9.88
2808.0,-9.49
2812.0,-8.5
2818.0,-8.95
2824.0,-9.38
2829.0,-9.4
2835.0,-9.07
2839.0,-8.92
2844.0,-7.76
2849.0,-8.17
2854.0,-8.53
2860.0,-7.98
2866.0,-7.03
2870.0,-7.88
2875.0,-6.22
2880.0,-7.11
2885.0,-7.74
2889.0,-7.47
2892.0,-7.63
2898.0,-7.69
2903.0,-7.4
2908.0,-7.37
2913.0,-7.34
2919.0,-7.43
2924.0,-7.19
2929.0,-7.52
2935.0,-7.63
2940.0,-7.86
2946.0,-8.18
2951.0,-8.22
2956.0,-8.69
2961.0,-8.62
2966.0,-7.93
2973.0,-8.34
2978.0,-8.39
2983.0,-8.31
2988.0,-8.38
2993.0,-8.31
2999.0,-8.34
3004.0,-10.32
3010.0,-12.2
3016.0,-10.8
3021.0,-10.77
3026.0,-8.8
3031.0,-9.6
3036.0,-9.47
3042.0,-9.24
3047.0,-9.22
3053.0,-9.92
3058.0,-8.74
3063.0,-9.0
3068.0,-9.2
3074.0,-8.38
3080.0,-9.11
3086.0,-9.05
3091.0,-8.69
3096.0,-9.48
3101.0,-10.38
3106.0,-8.96
3133.0,-9.02
3160.0,-9.37
3186.0,-8.84
3213.0,-8.81
3240.0,-9.04
3267.0,-9.21
3293.0,-9.41
3320.0,-9.29
3347.0,-9.43
3374.0,-9.66
3400.0,-9.83
3427.0,-10.06
3447.0,-10.06
3466.0,-9.29
3486.0,-10.51
3506.0,-8.35
3525.0,-9.81
3545.0,-8.62
3564.0,-8.85
3584.0,-9.34
3604.0,-9.32
3623.0,-8.87
3643.0,-9.21
3663.0,-7.82
3682.0,-8.95
3702.0,-8.9
3722.0,-8.53
3741.0,-8.95
3761.0,-9.23
3780.0,-8.83
3800.0,-8.9
3807.0,-9.42
3815.0,-10.23
3822.0,-10.28
3829.0,-11.51
3836.0,-9.08
3844.0,-9.28
3851.0,-10.37
3858.0,-10.93
3865.0,-10.67
3873.0,-10.09
3880.0,-9.63
3887.0,-9.74
3894.0,-9.86
3902.0,-10.19
3909.0,-10.02
3916.0,-10.61
3923.0,-9.4
3931.0,-9.96
3938.0,-8.91
3945.0,-8.97
3952.0,-9.73
3960.0,-9.53
3967.0,-9.12
3974.0,-9.2
3982.0,-9.44
3989.0,-9.61
3996.0,-8.63
4010.0,-10.48
4024.0,-10.41
4038.0,-9.3
4051.0,-9.34
4065.0,-9.44
4079.0,-10.42
4093.0,-9.53
4107.0,-9.12
4121.0,-8.99
4135.0,-8.96
4148.0,-9.97
4162.0,-9.25
4176.0,-10.67
4190.0,-9.83
4204.0,-9.71
4218.0,-9.15
4232.0,-10.3
4246.0,-10.83
4259.0,-9.77
4273.0,-10.2
4287.0,-11.9
4301.0,-11.85
4315.0,-11.2
4329.0,-10.4
4343.0,-9.59
4356.0,-9.75
4370.0,-10.71
4384.0,-10.63
4398.0,-11.21
4412.0,-10.26
4426.0,-9.77
4440.0,-8.89
4453.0,-8.95
4467.0,-9.34
4481.0,-9.54
4495.0,-9.96
4509.0,-8.04
4523.0,-9.28
4537.0,-10.12
4550.0,-9.24
4564.0,-9.64
4578.0,-9.91
4592.0,-8.54
4606.0,-9.98
4620.0,-10.37
4634.0,-9.3
4647.0,-9.89
4661.0,-10.62
4675.0,-9.91
4695.0,-10.88
4722.0,-11.15
4748.0,-10.46
4775.0,-11.05
4801.0,-9.06
4828.0,-8.31
4854.0,-8.85
4881.0,-8.14
4907.0,-8.9
4934.0,-9.49
4960.0,-9.22
4987.0,-9.18
5013.0,-10.83
5040.0,-9.87
5066.0,-9.95
5093.0,-10.3
5119.0,-11.21
5146.0,-11.17
5172.0,-10.88
5199.0,-11.02
5225.0,-10.54
5252.0,-11.23
5278.0,-10.31
5305.0,-9.76
5331.0,-9.6
5358.0,-10.23
5384.0,-9.67
5411.0,-10.74
5437.0,-11.47
5464.0,-10.3
5490.0,-10.04
5517.0,-11.23
5543.0,-10.79
5570.0,-9.78
5596.0,-9.85
5623.0,-10.01
5649.0,-10.03
5676.0,-10.85
5702.0,-10.84
5729.0,-9.84
5755.0,-9.38
5794.0,-9.46
5833.0,-10.81
5873.0,-9.55
5912.0,-9.8
5951.0,-9.73
5990.0,-9.1
6029.0,-9.43
6069.0,-9.96
6108.0,-11.48
6147.0,-10.5
6186.0,-9.96
