Jiuxian
190.0
160.0
290.0
480.0
710.0
630.0
1230.0
1390.0
1980.0
2730.0
2920.0
3430.0
3800.0
4000.0
5040.0
5380.0
4640.0
4680.0
5850.0
5760.0
6790.0
6620.0
7690.0
