LaVierge
2972.0
3002.0
3042.0
3231.0
3233.0
3363.0
3292.0
3334.0
3567.0
3654.0
3743.0
3977.0
4077.0
4259.0
4310.0
4434.0
4389.0
4602.0
4665.0
4853.0
5142.0
5253.0
5488.0
5564.0
5744.0
5994.0
