Lianhua
51.0
144.0
290.0
479.0
639.0
813.0
1032.0
1431.0
1689.0
2214.0
2748.0
3199.0
3532.0
3773.0
4065.0
4164.0
4282.0
4453.0
4569.0
4764.0
4905.0
5135.0
5474.0
5705.0
5915.0
6093.0
6369.0
6499.0
6817.0
6968.0
7204.0
7285.0
7595.0
7745.0
8008.0
8212.0
8349.0
8398.0
8624.0
10206.0
12048.0
12622.0
