Qunf
423.516
420.174
734.97
814.174
2627.967
2879.955
2990.342
3116.948
3221.699
3337.321
3470.404
3512.77
3617.324
3743.246
3849.935
3901.479
4055.067
4278.388
4418.593
4578.344
4694.883
4874.221
5051.486
5027.272
5150.596
5229.817
5308.191
5359.696
5586.094
5762.902
5799.779
5930.198
6145.683
6607.809
6734.714
7028.487
7416.448
7580.342
7667.767
7908.695
8339.276
8566.64
8783.382
9098.653
9359.481
9605.104
9798.512
10361.67
10452.131
10715.48
