Tangga
222.3
300.0
493.6
1198.8
1697.1
2245.2
2382.0
2958.7
3715.3
4297.1
5278.6
6719.4
6655.5
7348.7
8266.4
8539.9
9547.5
11026.3
11792.2
11956.4
12252.3
12668.2
13069.9
13345.2
13485.6
14417.4
14671.0
15006.1
15107.8
16392.0
16486.9
