Dongge
-2.0
33.0
141.0
213.0
299.0
378.0
481.0
568.0
772.0
1005.0
1186.0
1393.0
1552.0
1707.0
2007.0
2279.0
2538.0
2775.0
3218.0
3308.0
3712.0
3902.0
4001.0
4276.0
4417.0
4546.0
4921.0
5072.0
5449.0
5558.0
5781.0
6188.0
6257.0
6594.0
6762.0
7009.0
7492.0
7718.0
7875.0
8022.0
8118.0
8249.0
8442.0
8691.0
8837.0
