Qunf
125.109
132.039
90.381
25.021
28.591
27.663
26.293
37.216
32.596
25.087
25.112
31.498
24.281
34.966
29.362
22.957
26.575
25.904
22.703
26.097
24.249
24.119
48.483
28.242
33.381
28.721
38.414
22.906
29.462
36.985
27.097
90.735
91.127
31.694
64.451
28.069
38.675
29.39
28.611
71.71
29.219
35.323
22.364
22.336
24.703
21.389
23.201
26.301
26.285
26.749
