Dongge
12.0
19.0
72.0
78.0
26.0
26.0
68.0
29.0
56.0
83.0
31.0
49.0
32.0
54.0
69.0
52.0
46.0
59.0
66.0
48.0
84.0
50.0
46.0
73.0
38.0
72.0
63.0
51.0
100.0
86.0
58.0
104.0
60.0
50.0
52.0
73.0
90.0
85.0
77.0
104.0
114.0
91.0
125.0
128.0
93.0
