Lianhua
3.0
3.0
2.0
6.0
6.0
5.0
9.0
6.0
10.0
11.0
14.0
14.0
13.0
13.0
13.0
13.0
15.0
17.0
13.0
17.0
15.0
15.0
17.0
25.0
18.0
22.0
19.0
21.0
21.0
21.0
22.0
24.0
30.0
21.0
25.0
21.0
23.0
26.0
56.0
219.0
93.0
124.0
