Jiuxian
300.0
230.0
90.0
20.0
80.0
300.0
110.0
20.0
420.0
80.0
410.0
100.0
40.0
100.0
1410.0
530.0
470.0
100.0
250.0
370.0
1880.0
800.0
70.0
