Tangga
65.8
48.1
101.5
41.7
34.9
65.1
50.1
41.0
52.4
59.5
47.7
206.7
85.0
82.9
303.8
96.6
109.7
115.3
89.7
125.8
149.1
216.6
150.1
100.3
171.8
85.5
133.0
86.5
169.7
186.6
101.3
